StateID,Time(s),Position(m),Speed(m/s),Acceleration(m/s^2),constrainedPosition(m),desiredPosition(m),expectedDeisiredPosition(m),deviatedDesiredDisplacement(m)
0,0.0,-18.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
2,2.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
3,3.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
4,4.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
5,6.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
6,7.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
7,8.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
8,9.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
9,10.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
10,12.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
11,13.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
12,14.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
13,15.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
14,16.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
15,18.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
16,19.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
17,20.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
18,21.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
19,22.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
20,24.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
21,25.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
22,26.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
23,27.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
24,28.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
25,30.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
26,31.2,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
27,32.4,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
28,33.6,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
29,34.8,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
30,36.0,-18.00,0.00,0.00,-18.00,-16.65,-16.65,0.00
